,273.0,307.0256,341.0513,375.0769,409.1026,443.1282,477.1538,511.1795,545.2051,579.2308,613.2564,647.2821,681.3077,715.3333,749.359,783.3846,817.4103,851.4359,885.4615,919.4872,953.5128,987.5385,1021.5641,1055.5897,1089.6154,1123.641,1157.6667,1191.6923,1225.7179,1259.7436,1293.7692,1327.7949,1361.8205,1395.8462,1429.8718,1463.8974,1497.9231,1531.9487,1565.9744,1600.0
0.0001,4.762,4.762,4.762,4.762,4.762,4.762,4.76125,4.0621,2.1727,1.1418,0.6916,0.0737,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.205226,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7611,4.7594,4.75735,4.7562,4.75505,4.7024,2.833,2.37035,1.40535,0.24345,0.04135,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.410351,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7613,4.7611,4.76015,4.75905,4.75605,4.7542,4.74505,4.53505,2.1445,1.4562,0.2741,0.2048,0.13155,0.0297,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.615477,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7613,4.76115,4.761,4.7604,4.7601,4.75795,4.752,4.73085,4.44415,1.71625,0.9298,0.2303,0.2047,0.19735,0.1749,0.1208,0.035,0.00235,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.820603,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7613,4.76125,4.7612,4.7609,4.7603,4.75905,4.7531,4.69135,3.74325,1.2369,0.17905,0.16205,0.1573,0.15505,0.15005,0.14525,0.13875,0.12925,0.0689,0.0119,0.0022,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
1.025728,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.76125,4.7612,4.761,4.7605,4.7597,4.75755,4.71055,4.07825,2.05595,0.05275,0.04905,0.04885,0.0482,0.04795,0.0475,0.0469,0.04605,0.04465,0.0447,0.04785,0.0448,0.04225,0.0119,0.00235,0.002,0.002,0.002,0.002
1.230854,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.76115,4.76095,4.7605,4.7597,4.75435,4.57995,3.8699,2.3485,0.0343,0.00915,0.0088,0.00875,0.00865,0.00845,0.00835,0.0081,0.00795,0.00775,0.0074,0.00705,0.0065,0.00555,0.00475,0.0042,0.0036,0.00275,0.0023
1.435979,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.76105,4.7605,4.7597,4.7461,4.33745,3.61325,1.0662,0.1397,0.00775,0.0077,0.00755,0.00745,0.0073,0.0071,0.0068,0.00635,0.00585,0.00525,0.0046,0.0039,0.00335,0.0028,0.0026,0.00245,0.0023,0.0021
1.641105,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7605,4.75835,4.6189,4.10165,2.317,0.9586,0.246,0.0137,0.00735,0.0071,0.0067,0.00625,0.00565,0.00495,0.0044,0.00365,0.0031,0.00265,0.00225,0.00215,0.00215,0.0021,0.00205,0.002,0.002
