,200.0,355.5556,511.1111,666.6667,822.2222,977.7778,1133.3333,1288.8889,1444.4444,1600.0
0.0001,0.0,0.0,0.542709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.888978,0.0,0.0,0.0,0.0,0.0,0.144684,0.045092,0.025166,0.0,0.0
1.777856,0.0,0.0,0.0,0.0,0.0,0.17088,0.0,0.0,0.0,0.0
2.666733,0.0,0.0,0.0,0.0,0.389358,0.181475,0.0,0.0,0.0,0.0
3.555611,0.0,0.0,0.0,0.0,0.376342,0.338428,0.0,0.0,0.0,0.0
4.444489,0.0,0.0,0.0,0.30271,0.298161,0.0,0.0,0.0,0.0,0.0
5.333367,0.0,0.0,0.0,0.085049,0.424421,0.0,0.0,0.0,0.0,0.0
6.222244,0.0,0.0,0.0,0.332916,0.424421,0.0,0.0,0.0,0.0,0.0
7.111122,0.0,0.0,0.0,0.196723,0.426732,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.422532,0.315119,0.0,0.0,0.0,0.0,0.0
