,200.0,217.7215,235.443,253.1646,270.8861,288.6076,306.3291,324.0506,341.7722,359.4937,377.2152,394.9367,412.6582,430.3797,448.1013,465.8228,483.5443,501.2658,518.9873,536.7089,554.4304,572.1519,589.8734,607.5949,625.3165,643.038,660.7595,678.481,696.2025,713.9241,731.6456,749.3671,767.0886,784.8101,802.5316,820.2532,837.9747,855.6962,873.4177,891.1392,908.8608,926.5823,944.3038,962.0253,979.7468,997.4684,1015.1899,1032.9114,1050.6329,1068.3544,1086.0759,1103.7975,1121.519,1139.2405,1156.962,1174.6835,1192.4051,1210.1266,1227.8481,1245.5696,1263.2911,1281.0127,1298.7342,1316.4557,1334.1772,1351.8987,1369.6203,1387.3418,1405.0633,1422.7848,1440.5063,1458.2278,1475.9494,1493.6709,1511.3924,1529.1139,1546.8354,1564.557,1582.2785,1600.0
0.0001,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7619,4.75605,4.75435,4.54335,3.32705,2.4227,1.07585,0.9856,0.93415,0.59905,0.29785,0.1109,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.101365,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7382,4.762,4.762,4.762,4.762,4.762,4.762,4.7332,4.72825,4.727678,4.7233,4.7241,4.71895,4.7064,4.66495,4.34205,3.0839,2.08595,1.8351,1.65825,0.56406,0.4404,0.2537,0.09915,0.0144,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0258,0.0258,0.002,0.002,0.002,0.002,0.002,0.0258,0.002,0.002,0.02525,0.0238,0.02165,0.0204,0.002,0.01085,0.0108,0.002,0.002,0.002
0.202629,4.74025,4.7382,4.762,4.7382,4.7382,4.762,4.762,4.7382,4.7382,4.762,4.7382,4.7382,4.7382,4.762,4.7382,4.7382,4.7382,4.7382,4.762,4.762,4.762,4.762,4.762,4.7542,4.75045,4.7462,4.7292,4.7253,4.721799,4.72295,4.71205,4.7137,4.69705,4.5959,4.3515,2.06935,1.85635,1.60135,1.24095,0.50945,0.23215,0.1433,0.0599,0.0037,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0258,0.0258,0.0258,0.002,0.0258,0.002,0.0258,0.002,0.002,0.0258,0.02285,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.303894,4.762,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.762,4.7382,4.762,4.7382,4.7382,4.762,4.7382,4.7382,4.7382,4.7382,4.762,4.762,4.762,4.75505,4.75225,4.7521,4.7498,4.7422,4.72645,4.7222,4.7161,4.71705,4.7041,4.69335,4.66205,4.41425,2.2581,1.7709,1.52035,1.21865,0.6115,0.1782,0.1435,0.08535,0.02795,0.00395,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0258,0.0258,0.0258,0.0258,0.0258,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.405158,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.76175,4.75605,4.7528,4.7503,4.7537,4.7475,4.74685,4.73865,4.71615,4.71095,4.7068,4.6987,4.6865,4.6668,4.4776,3.5619,1.65535,1.36135,1.02195,0.68935,0.1299,0.117,0.113558,0.10665,0.083608,0.0406,0.0118,0.00245,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0258,0.002,0.002,0.0258,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.506423,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.7565,4.75605,4.7555,4.7549,4.7492,4.7479,4.7464,4.7409,4.73015,4.71795,4.71135,4.70175,4.68805,4.62095,4.4642,3.7346,1.4634,1.12435,0.78325,0.3462,0.11275,0.10945,0.1067,0.10445,0.09995,0.09115,0.06895,0.02715,0.00595,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.607687,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.75645,4.75605,4.75305,4.752,4.75045,4.75135,4.7455,4.7461,4.73805,4.72295,4.7076,4.696,4.67785,4.5146,4.43175,3.3947,1.2368,0.878281,0.5936,0.10675,0.10375,0.101,0.0984,0.0937,0.0898,0.08935,0.08365,0.07685,0.05355,0.02475,0.0059,0.00205,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.01845,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.708952,4.762,4.762,4.762,4.762,4.7382,4.7382,4.762,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.7382,4.762,4.762,4.762,4.762,4.75655,4.75635,4.7549,4.7541,4.75225,4.75155,4.7454,4.7429,4.747528,4.741648,4.73175,4.709337,4.687427,4.65665,4.46985,4.38835,2.81,0.97135,0.6638,0.21175,0.0974,0.0939,0.0915,0.0879,0.08485,0.08075,0.07825,0.07665,0.0737,0.0667,0.06115,0.04525,0.0199,0.00565,0.00205,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.810216,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.75655,4.7562,4.7556,4.75495,4.75365,4.7515,4.7524,4.75085,4.748,4.74275,4.73445,4.7161,4.68005,4.58915,4.4377,4.146,1.85885,0.7197,0.53395,0.0863,0.08305,0.0795,0.0763,0.0738,0.0717,0.0692,0.06635,0.0643,0.06005,0.0578,0.0557,0.05085,0.0449,0.03485,0.01955,0.0079,0.0027,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
