,200.0,355.5556,511.1111,666.6667,822.2222,977.7778,1133.3333,1288.8889,1444.4444,1600.0
0.0001,4.762,4.762,4.448667,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.888978,4.762,4.762,4.762,4.762,4.762,0.595333,0.095333,0.065333,0.002,0.002
1.777856,4.762,4.762,4.762,4.762,4.762,0.652,0.002,0.002,0.002,0.002
2.666733,4.762,4.762,4.762,4.762,2.882,0.698667,0.002,0.002,0.002,0.002
3.555611,4.762,4.762,4.762,4.762,2.018667,0.458667,0.002,0.002,0.002,0.002
4.444489,4.762,4.762,4.762,4.438667,0.872,0.002,0.002,0.002,0.002,0.002
5.333367,4.762,4.762,4.762,3.428667,1.478667,0.002,0.002,0.002,0.002,0.002
6.222244,4.762,4.762,4.762,2.978667,1.488667,0.002,0.002,0.002,0.002,0.002
7.111122,4.762,4.762,4.762,3.242,1.502,0.002,0.002,0.002,0.002,0.002
8.0,4.762,4.762,4.762,1.748667,1.072,0.002,0.002,0.002,0.002,0.002
