run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0012_lower,12,0,7.0,7.7622,7.7622,Al_undepleted,19.293,4,0.8066,0.2,0.05,0.35,0.4,0.15,211015,Kalgoorlie,basalt,lower,48.6108,0.2627,14.518,6.7394,14.889,13.9185,1.0615
p0013_upper,13,0,7.0,7.9945,7.9945,Al_undepleted,18.581,5,0.8059,0.2,0.05,0.35,0.4,0.15,81667,MURCHISON,metabasalt,upper,53.4016,0.7764,14.4258,11.4415,7.9945,11.7295,0.2308
p0013_lower,13,0,7.0,7.9945,7.9945,Al_undepleted,18.581,5,0.8059,0.2,0.05,0.35,0.4,0.15,81667,MURCHISON,metabasalt,lower,48.9545,0.2618,14.4173,6.8074,14.9154,13.7355,0.9081
p0014_upper,14,0,7.0,7.8565,7.8565,Al_undepleted,19.528,6,0.8115,0.2,0.05,0.35,0.4,0.15,100131,Kalgoorlie,basalt,upper,49.306,0.7531,14.7055,10.8415,7.8565,15.5106,1.0269
p0014_lower,14,0,7.0,7.8565,7.8565,Al_undepleted,19.528,6,0.8115,0.2,0.05,0.35,0.4,0.15,100131,Kalgoorlie,basalt,lower,48.3548,0.2583,14.4593,6.6341,14.9623,14.3036,1.0277
p0015_upper,15,0,7.0,7.4363,7.4363,Al_undepleted,18.054,7,0.8004,0.2,0.05,0.35,0.4,0.15,179890,East Pilbara Terrane,Basalt,upper,55.1065,0.7899,14.2609,11.0195,7.4363,10.079,1.3078
p0015_lower,15,0,7.0,7.4363,7.4363,Al_undepleted,18.054,7,0.8004,0.2,0.05,0.35,0.4,0.15,179890,East Pilbara Terrane,Basalt,lower,49.1955,0.2638,14.3925,6.8247,14.766,13.4876,1.0699
p0016_upper,16,1,9.0,9.5938,9.5938,Al_depleted,11.962,0,0.8189,0.2598,0.0699,0.35,0.3203,0.15,165366,SOUTHERN CROSS,basalt,upper,54.2966,1.3484,16.1293,12.6031,9.5938,5.958,0.0708
p0016_lower,16,1,9.0,9.5938,9.5938,Al_depleted,11.962,0,0.8189,0.2598,0.0699,0.35,0.3203,0.15,165366,SOUTHERN CROSS,basalt,lower,48.8332,0.348,12.4743,7.75,18.0772,11.789,0.7283
p0017_upper,17,1,9.0,9.3337,9.3337,Al_depleted,10.587,1,0.8209,0.25,0.0667,0.35,0.3333,0.15,81602,MURCHISON,metabasalt,upper,56.4221,0.9659,10.2261,12.1017,9.3337,10.8141,0.1365
p0017_lower,17,1,9.0,9.3337,9.3337,Al_depleted,10.587,1,0.8209,0.25,0.0667,0.35,0.3333,0.15,81602,MURCHISON,metabasalt,lower,49.2069,0.2905,11.9463,7.4818,17.6163,12.6946,0.7636
