run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0072_lower_tl05,72,4,15.0,14.866,14.866,Al_undepleted,24.535,0,0.8969,0.4933,0.1358,0.2784,0.0925,0.05,81448,MURCHISON,komatiite,lower,47.0433,0.1564,4.548,7.5458,32.5769,7.8404,0.2891
p0073_lower_tl05,73,4,15.0,15.7466,15.7466,Al_undepleted,23.167,1,0.8983,0.5373,0.1468,0.2563,0.0595,0.05,83434,MURCHISON,metabasalt,lower,46.7654,0.1502,3.4965,7.8742,34.7221,6.784,0.2077
p0074_lower_tl05,74,4,15.0,14.8296,14.8296,Al_undepleted,21.7,2,0.9097,0.4915,0.1354,0.2793,0.0939,0.05,81787,MURCHISON,komatiite,lower,47.4324,0.161,4.6208,6.8996,32.9459,7.6382,0.3021
p0075_lower_tl05,75,4,15.0,14.239,14.239,Al_undepleted,26.163,3,0.8896,0.4619,0.128,0.294,0.116,0.05,204691,Kalgoorlie,Ultramafic,lower,47.0379,0.1626,5.3511,7.5978,30.8439,8.6051,0.4016
p0076_lower_tl05,76,4,15.0,14.866,14.866,Al_undepleted,24.535,4,0.8969,0.4933,0.1358,0.2784,0.0925,0.05,81448,MURCHISON,komatiite,lower,47.0433,0.1564,4.548,7.5458,32.5769,7.8404,0.2891
p0077_lower_tl05,77,4,15.0,15.362,15.362,Al_undepleted,16.944,5,0.8976,0.5181,0.142,0.2659,0.0739,0.05,83415,MURCHISON,komatiite,lower,47.0762,0.1575,3.8703,7.7344,33.7826,7.1317,0.2472
p0078_lower_tl05,78,4,15.0,14.389,14.389,Al_undepleted,17.705,6,0.8832,0.4695,0.1299,0.2903,0.1104,0.05,81657,MURCHISON,komatiite,lower,47.0518,0.1708,5.1488,7.968,30.9836,8.3455,0.3316
p0079_lower_tl05,79,4,15.0,14.866,14.866,Al_undepleted,24.535,7,0.8969,0.4933,0.1358,0.2784,0.0925,0.05,81448,MURCHISON,komatiite,lower,47.0433,0.1564,4.548,7.5458,32.5769,7.8404,0.2891
p0080_lower_tl05,80,5,17.0,17.4815,17.4815,Al_depleted,10.2,0,0.8925,0.6241,0.15,0.1944,0.0315,0.05,83459,MURCHISON,metabasalt,lower,45.8366,0.1403,2.2698,8.8108,37.7094,5.1001,0.133
p0081_lower_tl05,81,5,17.0,16.0548,16.0548,Al_depleted,10.482,1,0.8741,0.5527,0.15,0.2479,0.0493,0.05,83472,MURCHISON,metabasalt,lower,46.3523,0.165,3.0265,9.3266,34.469,6.4755,0.1851
