SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
50.26020479398236,0.6627895945697475,11.725303477928888,11.205923826085574,15.20961645836463,9.772784115490172,1.1633777335786297
52.456159856977614,0.6885891659413137,11.81355372293109,11.34839132761115,13.213736102431945,9.38552225915006,1.0940475649568282
50.98937942881093,0.716220007084982,11.307877371462906,11.29695783107049,14.351763514833552,10.02409627085622,1.3137055758809333
51.42484777692042,0.6669103362339087,11.521515494931585,11.674218498985416,13.565475127526442,9.896650323879593,1.2503824415226417
50.57636227168942,0.7047879213381183,11.758300293341629,10.914647967845145,14.755952856332229,10.185553845711581,1.104394843741862
51.60486316428136,0.7457696174162364,11.283268482265242,11.788474542809396,12.769053483360056,10.555368288824425,1.2532024210432715
51.52503047961155,0.626462942394941,11.411431354690476,11.481222923284529,13.855373874929775,9.907810916595636,1.1926675084931107
50.888817902465206,0.7180386589973324,11.491319263723938,11.766420737592343,13.732805305779882,10.309387374057497,1.093210757383813
50.52361836139175,0.7536339409276271,11.406600605813384,12.020463912516252,13.906045219698925,10.168180650747974,1.2214573089040928
51.51203839206454,0.6219058966844593,11.948114012440215,11.19358435619384,13.080209320429459,10.502023762420801,1.1421242597666674
51.45516183117537,0.6482602206848634,11.749742079019777,10.375475469968245,14.233952441397545,10.313301821286347,1.2241061364678512
51.43570527510969,0.7651731716378625,10.906574712886625,11.538404424639506,14.457113050642878,9.591718380671507,1.3053109844119317
51.62988095301351,0.7404072648204477,11.27978562083427,11.14776134426654,13.998481295292349,10.001327488734676,1.2023560330382106
51.37843000680749,0.6760212669918699,11.006393381488396,11.124958577962676,14.292143649489523,10.320175928860161,1.2018771883998747
50.632429974714945,0.7354339525173458,11.254969187181478,11.210591830532515,14.563520013904185,10.323249285629325,1.2798057555202142
51.82873543084634,0.6903766619097342,11.986745365835064,10.881944888021188,14.44594323775996,8.897825220711558,1.2684291949161242
51.402790515397065,0.7248426186998745,11.123701704777227,11.735091078042297,14.205037656592717,9.695523031839153,1.1130133946516723
51.30650632252275,0.6826107598813342,11.405239493474097,11.12688814925525,14.534558720488969,9.88583063856652,1.0583659158110885
50.949930811406674,0.6852413452216852,11.589716913237925,12.150547199052577,13.281907482179708,10.218751558358942,1.1239046905424819
51.15312997744798,0.7084414536203767,12.331968037520953,11.698742365745963,13.658776160573671,9.293960262989541,1.154981742101545
51.727766475005296,0.7096180470362337,11.507655793775605,10.875990452413868,13.94902816240846,10.154238998894607,1.0757020704659273
51.39482453830439,0.7540461705272411,11.657139146161356,11.355447167879264,13.79056049746775,10.020917791176835,1.027064688483165
51.28750377232069,0.729094114231915,11.636404922368257,11.152301007405264,13.481707367979396,10.597173764679024,1.1158150510154627
51.10891032265915,0.7176311189306281,11.325967604971133,12.07539948815829,13.284103106467906,10.357380169557352,1.1306081892555426
51.04115880248309,0.7752352746891878,11.741572709293022,11.641818080012746,13.169040433433919,10.40371691526816,1.2274577848198844
51.432466928468834,0.7542399705857444,11.697172527182138,11.014460331948927,13.544790903899896,10.339404039825496,1.2174652980889504
52.28584902639187,0.6678137399624791,10.831106487875482,11.376257725415853,14.050134425237049,9.60453123082471,1.1843073642925648
50.896370410115416,0.6233916576796004,11.006616345116065,11.396391791700362,14.309746182263375,10.496320245644986,1.271163367480185
51.1050506591503,0.6638782595880912,11.520277157663994,11.4744890963389,13.787673803078746,10.274211185646038,1.1744198385339202
50.241025718266926,0.7016227487523798,10.36006678088967,11.503540115982556,15.03611210215096,11.151637183959041,1.0059953499984648
51.09040395698491,0.7618939263734367,11.348461515500231,11.816773674512014,13.832364291244788,10.122403401359497,1.027699234025131
50.98200475761589,0.6756399255630211,11.569827793236309,11.377179263801908,14.383052383395691,9.997784786651096,1.0145110897360947
51.539756665366916,0.6939818439095062,10.908484840853687,11.937615223107146,13.510222223633006,10.157381482715781,1.252557720413967
51.14879075625489,0.6374190245033011,11.779857004410811,11.079423647204013,14.124725081985089,10.141493217345527,1.0882912682963484
52.010834488869406,0.6344282236420491,11.05977944584407,10.831522570867726,13.708266163587783,10.616203164714372,1.1389659424745824
52.58310539417836,0.7055953437494653,11.308257947274013,11.869267639292678,13.422652044993807,8.96471032770069,1.1464113028109961
50.502371151393405,0.6169336096383301,11.223110577945642,11.466182273035677,15.067405034233282,10.007433956489647,1.1165633972640214
50.734806979811026,0.6722334877201656,11.495194532332643,12.154223848383594,14.197864565953164,9.663195950975302,1.0824806348241025
51.1298783874627,0.6387258212056534,11.892055857946291,10.960818711818646,14.564588776738704,9.514839525220973,1.2990929196070429
50.850005094263,0.6616378835305049,11.11123745375799,11.6208135197902,14.1389299616791,10.466867717788,1.1505083691911957
49.60080500870157,0.7269559486544794,11.743154112802129,11.656066096521538,14.354963930192657,10.782659818303843,1.1353950848238092
50.38970821521399,0.7024372278226088,11.614004286907253,11.568570729831011,14.177588808995042,10.458019250710091,1.0896714805199985
51.47852787894678,0.7585314972977759,10.746006035687497,11.242141687744654,14.048208689584232,10.51227180618349,1.2143124045555842
51.11909030719268,0.7592789018557051,11.351238316131038,11.5368405567793,14.16626019066159,9.896423284582646,1.170868442797037
51.995269527371065,0.6400596496876868,11.501957655758755,11.241253809114214,13.734235277401098,9.848697097340443,1.0385269833267317
50.83628853598488,0.7235133262147481,11.938160894117972,11.68592602443929,13.528257277757193,10.038005321098343,1.2498486203875747
50.76365263283431,0.6513433480812288,11.361695082775437,11.008177396650641,14.917332498889799,10.151214232072386,1.1465848086962032
51.02572708884592,0.6962543838948941,11.178711925267121,10.899834169943118,14.968089494147367,10.16160031689138,1.0697826210102077
51.64664237807423,0.7105063326279923,11.047545335914052,11.820020993455309,13.78062995521135,9.794495642718287,1.2001593619987818
50.91160455173427,0.6894019835708762,10.23587276997828,11.828304864544416,14.233060196084343,10.866903832542034,1.2348518015457608
50.042193558972606,0.7246728261888797,10.933917547104326,10.779546571895354,15.014858803748528,11.374451139564492,1.1303595525258026
50.95997383301502,0.6856196731683327,11.533325301793214,12.053180351678195,13.446686301671523,10.16617152685825,1.1550430118154598
51.865343784019096,0.5706544343064646,10.627396782621465,11.362350033817963,15.240285379398655,9.375453708696254,0.9585158771401071
50.24909621949167,0.61253328205562,11.95261748873616,11.181585833871395,14.839022740908625,9.988474280890006,1.1766701540465265
51.756043599361824,0.5940329701742133,10.625096926624185,11.309666705012765,13.858295447925718,10.738688681746668,1.118175669154614
50.58059196775274,0.6964342141117232,11.698546625334837,11.74164166497132,13.777282476410178,10.25940963901088,1.246093412408331
50.144843790943455,0.7046058834990925,11.892963328480352,11.849904606949519,13.893424308045928,10.281436603630645,1.232821478450994
51.471808066408116,0.7809290833934484,11.003585514097697,11.15185420878938,14.088080002032894,10.429198170083865,1.0745449551945934
50.26569488056605,0.7102244233988029,11.061307123285776,11.151757215894861,15.266924990037767,10.184590263805072,1.3595011030116886
51.38784743676447,0.6226834719690728,11.75909484255342,11.553031545931452,13.0188319297478,10.460988681539167,1.1975220914946287
51.440890720344136,0.6271643494140768,10.696512431386925,10.48885233288726,14.91189634502813,10.612632719201233,1.222051101738243
51.06639605569639,0.6951984864758762,11.674165042145015,10.920763528131124,14.502302763743069,10.004018436505135,1.1371556873033963
51.6372601561828,0.6749590450189947,11.172388035213924,11.059082664245489,13.517148082092719,10.676056156518326,1.2631058607277672
50.25105916611774,0.6962416626615614,11.171985129960538,12.200455817904212,13.904614463366409,10.703638982263413,1.0720047777261263
52.1241106122222,0.7248941605510459,11.787575318186292,11.023931033969605,13.166207790275763,9.973873747960452,1.1994073368346276
51.46769085299614,0.6977069910070026,10.846608244170907,11.992778451690548,13.827786030204585,9.898074565488924,1.2693548644418966
51.98792189211809,0.6427841886359472,11.204630876990255,11.170129284045283,14.47142119594575,9.427736967116822,1.0953755951478648
51.5089261558632,0.710068945518155,11.29656425577631,11.684547812512275,13.42175952245111,9.931735379038603,1.4463979288403477
50.67828315613959,0.8014439021360912,12.01927476077818,11.06599074728296,14.466320586324752,9.962987948940764,1.005698898397667
50.566158098237594,0.7227134041179623,11.497255649173134,11.391055162652425,13.628200265952719,10.919600389572063,1.2750170302941066
51.53259159067474,0.705052442208205,11.40882524488939,11.32560929599768,13.784285538201173,10.117819272145901,1.1258166158829246
51.038320646274926,0.6789269914338004,11.081970235098913,11.55878586979581,14.47804411830358,9.959334823186918,1.204617315906039
50.11049417187439,0.6950731597481368,11.490398683690634,11.302281508898572,15.39742132962603,9.68426547205915,1.3200656741030765
50.59642517785927,0.7280789834962161,11.38754740257464,10.915005152292922,14.60998930716768,10.532171448948949,1.2307825276603102
51.22685442384123,0.6794656980904462,10.867287226578453,11.340160013328026,14.116309201088844,10.58772334729619,1.1822000897768081
51.52275285774886,0.7035762871598196,10.594253543102722,11.985517216530091,13.932501384288727,10.154460250420383,1.1069384607493835
50.90767479454107,0.7441571199265153,11.761014404229634,11.417347265938101,13.804755126942975,10.179023108050043,1.186028180371666
49.905704370763445,0.7260573689232125,10.843256637358403,12.74155148610777,14.772953015085767,9.861026314254582,1.1494508075068255
50.40054590248269,0.6517791392299629,11.060985819778093,11.078415405363504,15.460739705237694,10.309043817797106,1.038490210110951
50.75821160685386,0.7553405733023734,11.280864414096186,11.327789466776391,13.910894159018861,10.818905749316908,1.1479940306354162
51.409244912631884,0.7208546951868364,10.846026049861514,11.059540221613583,15.777343623959398,8.994911891779527,1.1920786049672683
51.82040909946653,0.7597548159792674,11.163431108222692,10.63116108662696,13.836689398903072,10.550734467697229,1.2378200231042433
51.93734145227312,0.7506846537885884,10.989612395155625,11.394612576959439,13.65757700500266,10.122016381787619,1.148155535032943
51.12308505193363,0.7190828049416765,11.600452477102884,11.196934815499885,14.215547981321787,10.010312262145664,1.134584607054482
51.14120631370221,0.7166982545389363,11.652710050077218,11.172296301223307,14.086223579768532,10.077035349501875,1.1538301511879125
51.679654280991315,0.6421800919821155,11.30306766783099,11.171057944941891,14.000083335792503,9.959154005708818,1.2448026727523722
51.00399705245745,0.6233872848059427,11.355752740428036,12.105434918847969,12.689351270378896,11.042446650343923,1.1796300827377715
50.932765475460556,0.7094581021252339,10.967528930366258,11.933224653598977,14.217914581380017,10.206148127046509,1.032960130022438
50.63951927592442,0.6531624104153242,10.838650150038022,11.59503569667422,14.306062628260888,10.646287437284846,1.3212824014022877
51.15978390205899,0.6592312875796498,11.627422880627842,11.537067884348087,14.251750007699094,9.656790900182136,1.1079531375041989
50.581318690407045,0.7171334974816143,10.964447228445467,11.511115688333794,14.566020302943619,10.580900574695463,1.079064017693001
51.666960474501046,0.8022767972516336,11.62838753167357,11.36582573217935,12.348509796963205,10.962692714458878,1.225346952972328
51.4156329627671,0.7378030186338289,12.016421734556094,11.30914423302168,12.501685758156873,10.518551852401652,1.5007604404627792
50.50984096849169,0.7716561985673072,11.893608505406991,11.46833393929635,14.326245689281782,9.981161085319236,1.0491536136366792
50.553785340485746,0.7317005786103138,11.127968906440602,12.251733425046407,15.036535518100566,9.062959359673075,1.235316871643301
50.46730066644999,0.6210519542621267,10.623702976029344,11.867915993872721,14.607496340181942,10.661904497264137,1.1506275719397472
51.0544073569599,0.7344891315823693,10.992372872249065,11.005836989465418,14.503075733807746,10.608774030451125,1.1010438854843658
50.48293929034928,0.7129724720015412,10.654301143339291,12.126574366612122,13.73454751464682,10.959151210110859,1.3295140029400947
50.951349080438405,0.8181795108451329,11.727219267005255,10.962365551708595,14.320707385997933,10.096055634883417,1.1241235691212488
51.33371549093398,0.722807796443355,10.941486614509206,11.649200302283809,13.376884055104195,10.671854264898887,1.3040514758265545
50.57817848918935,0.6571262518068178,10.848797565778895,11.620600265384109,14.44316830510257,10.60743572653373,1.2446933962045221
50.42111677748624,0.7094850381881679,11.619893662277128,11.499921592761552,14.208975780549817,10.321654152719358,1.2189529960177194
51.28597575233651,0.7530973348812163,11.065704542146362,11.388426019709707,14.629414822275965,9.786138665687428,1.091242862962809
