,mu_UC_mean,mu_UC_std,x_bulk_mean,x_bulk_std,x_lower_mean,x_lower_std,delta_mean
SiO2_pct,51.9908,0.3495,51.1796,0.5696,50.7358,0.8876,-0.3863
TiO2_pct,0.7303,0.0474,0.694,0.0485,0.6739,0.0757,-0.0305
Al2O3_pct,11.6141,0.2863,11.3842,0.4327,11.2596,0.6704,-0.1339
FeOtot_pct,11.3823,0.1354,11.3938,0.423,11.3983,0.6556,0.1075
MgO_pct,13.111,0.7656,14.0325,0.6241,14.5389,0.9755,1.0425
CaO_pct,9.8826,0.167,10.1312,0.4307,10.2659,0.6686,0.3343
Na2O_pct,1.2889,0.1323,1.1847,0.0952,1.1275,0.1491,-0.0943
